timestamp,y,x,type,amplitude,height,locationError
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
14/02/2023 16:44:43.550,6.180,-75.503,1,14.6,0,1.0
